0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","AUC  as on April 30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  April 16-30, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","Net  Investment  May 1-15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","AUC  as on May 15, 2013","May 15, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"May 15, 2013"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"May 15, 2013"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,4AUC of Top 10 companies under Others Category in Debt is  as below,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
Sr.  No.,Companies,"As on May  15, 2013 in INR Cr.",Companies,"As on April  30, 2013 in INR Cr.",,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
1,NABARD,8251,NABARD,8293,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
2,Exim Bank,7804,Exim Bank,8004,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
3,National Housing  Bank,4337,National Housin,4383,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
4,EMGFL Ltd,2838,EMGFL Ltd,2838,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
5,SIDBI,1868,SIDBI,1808,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
6,WIRELESS  BUSINESS SERVICES PVT LTD,1335,PLUS BKSP T,1540,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
7,SISTEMA SHYAM  TELESER,1280,WIRELESS BU,1335,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
8,WIRELESS BROAD  BUS SER DELHI,1120,SISTEMA SHY,1280,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
9,J.P.MORGAN CP,1025,WIRELESS BR,1120,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
10,TRIL Infopark  Ltd,980,J.P.MORGAN,1025,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,Total,30838,Total,31627,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,,,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,"AUC as on  May 15, 2013",54.7835,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,"Net  Investment May 1-15, 2013",54.7835,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,"AUC as on  April 30, 2013",54.219,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
,"Net  Investment April 16-30, 2013",54.219,,,,,,,,,,,,,,,,,,,,,,,,"May 15, 2013"
