0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,ReportDate
,,"AUC as on September 15, 2012","AUC as on September 15, 2012","AUC as on September 15, 2012","AUC as on September 15, 2012","AUC as on September 15, 2012","AUC as on September 15, 2012","Net Investment  September 1-15, 2012","Net Investment  September 1-15, 2012","Net Investment  September 1-15, 2012","Net Investment  September 1-15, 2012","Net Investment  September 1-15, 2012","Net Investment  September 1-15, 2012","Net  Investment  September 16-30, 2012","Net  Investment  September 16-30, 2012","Net  Investment  September 16-30, 2012","Net  Investment  September 16-30, 2012","Net  Investment  September 16-30, 2012","Net  Investment  September 16-30, 2012","AUC  as on September 30, 2012","AUC  as on September 30, 2012","AUC  as on September 30, 2012","AUC  as on September 30, 2012","AUC  as on September 30, 2012","AUC  as on September 30, 2012",,"September 30, 2012"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,,"September 30, 2012"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,,"September 30, 2012"
Cimmco Ltd,Cimmco Ltd,Cimmco Ltd,Cimmco Ltd,,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
Gillanders Arbuthnot & Co. Ltd.,Gillanders Arbuthnot & Co. Ltd.,Gillanders Arbuthnot & Co. Ltd.,Gillanders Arbuthnot & Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
ADITYA BIRLA NUVO LTD.,ADITYA BIRLA NUVO LTD.,ADITYA BIRLA NUVO LTD.,ADITYA BIRLA NUVO LTD.,,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
KESORAM IND,KESORAM IND,KESORAM IND,KESORAM IND,,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
"Empire Industries Ltd.,","Empire Industries Ltd.,","Empire Industries Ltd.,","Empire Industries Ltd.,",,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
BALMER LAWRI,BALMER LAWRI,BALMER LAWRI,BALMER LAWRI,,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
3M INDIA LTD,3M INDIA LTD,3M INDIA LTD,3M INDIA LTD,,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
,,,,,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
"3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","3Sub-category under ""Utilities"" are  as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,,,,,,,,"September 30, 2012"
